Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-845-2201,BANDGE GZ WHITE 4IN X5YD,12,EA,WHSE,0.66,7.92,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-845-2239,BANDAGE 100'S,1,BX,WHSE,2,2,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-846-1217,TAPE X-RAY TRANSPARENT,6,SL,WHSE,1.19,7.14,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-846-1218,TAPE ADH WHITE 2.5CMX9M,12,SL,WHSE,1.53,18.36,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-860-8463,SKIN CLOSURE 3 X 75MM,1,BX,WHSE,43.27,43.27,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-860-8464,SKIN CLOSURE 6 X 75MM,1,BX,WHSE,44.55,44.55,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-890-0883,SPONGE 4-P STER 10X10CM,50,PG,WHSE,0.1,5,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-891-0089,SPONGE SURG 4PLY 5 X 5CM,1,PG,WHSE,1.24,1.24,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-891-0091,SPONGE 4-P N-ST 10X10CM,1,PG,WHSE,4.83,4.83,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-907-7341,SPONGE 8-P N-ST 7X 7CM,1,PG,WHSE,3.27,3.27,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-21-909-0875,"BANDAGE, POST-OP, ADHESIVE, HIGHLY ABSORBENT, NON-STICK, WATERPROOF WITH BACTERIAL BARRIER, 15.5CM X 8.5CM",1,BX,WHSE,54.58,54.58,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-CF-001-7793,DRESSING STRIP 4CM X 5M,1,EA,WHSE,17.64,17.64,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-CF-001-9229,PAD ABDOMINAL 8IN X 10IN,4,BX,WHSE,7.85,31.4,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-CF-002-0797,"DRESSING, BURN, DRY, 10CM X 20CM, ACTICOAT, ANTIMICROBIAL SILVER COATED",12,EA,WHSE,14.67,176.04,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-CF-002-0798,"DRESSING, BURN, DRY, 20CM X 40CM, ACTICOAT, ANTIMICROBIAL SILVER COATED",6,EA,WHSE,80.33,481.98,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-CF-002-7935,BANDAGE TENSOR LF 10CM,12,EA,WHSE,0.8,9.6,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-00-363-8800,"SCISS BAND LISTER 5.5""",1,EA,WHSE,3.53,3.53,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-00-363-8840,SCISS BAND LISTER 7IN,1,EA,WHSE,18.42,18.42,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-00-367-0420,SHIELD EYE PATCH W/CORD,6,EA,WHSE,5.87,35.22,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-008-3338,PEN SKIN MARKING,3,EA,WHSE,0.89,2.67,C,
